"Date","Investment Value"
"2015-08-02T00:00:00.000",100
"2015-08-09T00:00:00.000",100
"2015-08-16T00:00:00.000",100
"2015-08-23T00:00:00.000",100
"2015-08-30T00:00:00.000",100
"2015-09-06T00:00:00.000",100
"2015-09-13T00:00:00.000",100
"2015-09-20T00:00:00.000",100
"2015-09-27T00:00:00.000",100
"2015-10-04T00:00:00.000",100
"2015-10-11T00:00:00.000",100
"2015-10-18T00:00:00.000",100
"2015-10-25T00:00:00.000",100
"2015-11-01T00:00:00.000",100
"2015-11-08T00:00:00.000",100
"2015-11-15T00:00:00.000",100
"2015-11-22T00:00:00.000",100
"2015-11-29T00:00:00.000",100
"2015-12-06T00:00:00.000",100
"2015-12-13T00:00:00.000",100
"2015-12-20T00:00:00.000",100
"2015-12-27T00:00:00.000",100
"2016-01-03T00:00:00.000",100
"2016-01-10T00:00:00.000",100
"2016-01-17T00:00:00.000",100
"2016-01-24T00:00:00.000",100
"2016-01-31T00:00:00.000",100
"2016-02-07T00:00:00.000",100
"2016-02-14T00:00:00.000",100
"2016-02-21T00:00:00.000",100
"2016-02-28T00:00:00.000",100
"2016-03-06T00:00:00.000",100
"2016-03-13T00:00:00.000",100
"2016-03-20T00:00:00.000",100
"2016-03-27T00:00:00.000",100
"2016-04-03T00:00:00.000",100
"2016-04-10T00:00:00.000",100
"2016-04-17T00:00:00.000",100
"2016-04-24T00:00:00.000",100
"2016-05-01T00:00:00.000",100
"2016-05-08T00:00:00.000",100
"2016-05-15T00:00:00.000",100
"2016-05-22T00:00:00.000",100
"2016-05-29T00:00:00.000",100
"2016-06-05T00:00:00.000",100
"2016-06-12T00:00:00.000",100
"2016-06-19T00:00:00.000",100
"2016-06-26T00:00:00.000",100
"2016-07-03T00:00:00.000",100
"2016-07-10T00:00:00.000",100
"2016-07-17T00:00:00.000",100
"2016-07-24T00:00:00.000",100
"2016-07-31T00:00:00.000",100
"2016-08-07T00:00:00.000",100
"2016-08-14T00:00:00.000",100
"2016-08-21T00:00:00.000",100
"2016-08-28T00:00:00.000",100
"2016-09-04T00:00:00.000",100
"2016-09-11T00:00:00.000",100
"2016-09-18T00:00:00.000",100
"2016-09-25T00:00:00.000",100
"2016-10-02T00:00:00.000",100
"2016-10-09T00:00:00.000",100
